model_checkpoint,contains,layer,head,ood_base,id_base,ood_uniform,ood_mean,id_uniform,id_mean
question_D_hier90_linear10_two_phase_200k_seed67_12682822__checkpoint_300000,True,2,7,0.0018686013063415885,1.0,0.0004621672269422561,0.000803991686552763,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed69_12682897__checkpoint_300000,True,0,5,0.9289849400520325,1.0,0.9268411993980408,0.9278937578201294,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed69_12682897__checkpoint_300000,True,0,6,0.9289849400520325,1.0,0.929013192653656,0.9282066226005554,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed69_12682897__checkpoint_300000,True,2,2,0.9289849400520325,1.0,0.9249330163002014,0.9272190928459167,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed69_12682897__checkpoint_300000,True,2,4,0.9289849400520325,1.0,0.9213261008262634,0.9511814713478088,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed70_12682957__checkpoint_300000,True,1,6,0.7944438457489014,1.0,0.8025243878364563,0.8030315041542053,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed70_12682957__checkpoint_300000,True,1,7,0.7944438457489014,1.0,0.7974333763122559,0.7912535667419434,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed70_12682957__checkpoint_300000,True,2,1,0.7944438457489014,1.0,0.7954667806625366,0.7927643060684204,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed70_12682957__checkpoint_300000,True,2,5,0.7944438457489014,1.0,0.7928308248519897,0.7873004078865051,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed71_12683480__checkpoint_300000,True,1,3,0.00012837689428124577,1.0,0.00030140066519379616,0.00031140490318648517,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed71_12683480__checkpoint_300000,True,2,0,0.00012837689428124577,1.0,0.001834033872000873,0.0020064294803887606,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed71_12683480__checkpoint_300000,True,2,5,0.00012837689428124577,1.0,0.0010779788717627525,0.0009523180779069662,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed73_12683559__checkpoint_300000,True,2,6,0.9674058556556702,1.0,0.9656625986099243,0.9676252603530884,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed74_12696556__checkpoint_300000,True,0,0,0.08815916627645493,1.0,0.09183875471353531,0.08911242336034775,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed74_12696556__checkpoint_300000,True,2,6,0.08815916627645493,1.0,0.07978933304548264,0.09069658815860748,1.0,1.0
