id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
cdsu8ahy,3,2,0.01,0.7,0.7,0.0,0.0,0.7,False,False,neither
7j5se6jn,3,2,0.001,0.781,0.829,0.04799999999999993,0.04599999999999993,0.781,True,False,sign-matching
0bm0d0zo,3,2,0.0,0.526,0.498,-0.028000000000000025,-0.03700000000000003,0.526,False,False,neither
n9hxu7u9,3,2,0.01,0.319,0.319,0.0,0.0,0.319,False,False,neither
6pfrsq5e,3,2,0.001,0.936,0.855,-0.08100000000000007,-0.08900000000000008,0.936,False,True,violation-detecting
jt1fc4pt,3,2,0.0,0.962,0.473,-0.489,-0.488,0.962,False,True,violation-detecting
qr3xsty7,3,2,0.01,0.764,0.764,0.0,0.0,0.764,False,False,neither
ir50a3zn,3,2,0.001,0.92,0.784,-0.136,-0.15100000000000002,0.92,False,True,violation-detecting
oqtv3b1y,3,2,0.0,0.618,0.415,-0.203,-0.21699999999999997,0.618,False,False,neither
apdm45as,3,2,0.01,0.233,0.233,0.0,0.0,0.233,False,False,neither
ijgz8nby,3,2,0.001,0.792,0.716,-0.07600000000000007,-0.08100000000000007,0.792,False,False,neither
a9rps1sz,3,2,0.0,0.969,0.717,-0.252,-0.30499999999999994,0.969,False,False,neither
mf8m1f20,3,2,0.01,0.62,0.62,0.0,0.0,0.62,False,False,neither
41fpqk2h,3,2,0.001,0.302,0.301,-0.0010000000000000009,-0.0010000000000000009,0.302,False,False,neither
wivclugf,3,2,0.0,1.0,0.339,-0.661,-0.6950000000000001,1.0,False,True,violation-detecting
i1fai8k7,3,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
tj3rz9yi,3,2,0.001,0.123,0.124,0.0010000000000000009,0.0010000000000000009,0.123,False,False,neither
ddeurv7p,3,2,0.0,0.216,0.095,-0.121,-0.14400000000000002,0.216,False,False,neither
hug9xqv0,3,2,0.01,0.785,0.785,0.0,0.0,0.785,False,False,neither
l2ctl6o0,3,2,0.001,0.659,0.84,0.18099999999999994,0.19099999999999995,0.659,True,False,sign-matching
b8fq6o8x,3,2,0.0,0.799,0.64,-0.15900000000000003,-0.15900000000000003,0.799,False,True,violation-detecting
r2prk30x,3,2,0.01,0.8,0.8,0.0,0.0,0.8,False,False,neither
90mhqwro,3,2,0.001,0.23,0.23,0.0,0.0,0.23,False,False,neither
arfiemsi,3,2,0.0,0.973,0.968,-0.0050000000000000044,-0.0050000000000000044,0.973,False,False,neither
y2egznqp,3,2,0.01,0.12,0.12,0.0,0.0,0.12,False,False,neither
6bue7cn6,3,2,0.001,0.423,0.425,0.0020000000000000018,0.0020000000000000018,0.423,False,False,neither
gkh8ipkk,3,2,0.0,0.012,0.029,0.017,0.02,0.012,False,True,violation-detecting
nlsptubu,3,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
v3kmo2e5,3,2,0.001,0.524,0.547,0.02300000000000002,0.02300000000000002,0.524,False,False,neither
w861ttrh,3,2,0.0,0.902,0.52,-0.382,-0.375,0.902,False,False,neither
swnrviiq,3,2,0.01,0.394,0.385,-0.009000000000000008,-0.009000000000000008,0.394,False,False,neither
do9cszj0,3,2,0.001,0.013,0.013,0.0,0.0,0.013,False,False,neither
o5k5uju3,3,2,0.0,0.481,0.479,-0.0020000000000000018,-0.01100000000000001,0.481,False,False,neither
pnkimtdo,3,2,0.01,0.001,0.001,0.0,0.0,0.001,False,False,neither
bwzwa2ri,3,2,0.001,0.011,0.011,0.0,0.0,0.011,False,False,neither
chw1zyll,3,2,0.0,0.471,0.518,0.04700000000000004,0.03600000000000003,0.471,False,False,neither
j7uo5a1h,3,2,0.01,0.022,0.022,0.0,0.0,0.022,False,False,neither
2f2f9msd,3,2,0.001,0.006,0.006,0.0,0.0,0.006,False,False,neither
h7bcvji2,3,2,0.0,0.379,0.415,0.035999999999999976,0.035999999999999976,0.379,False,True,violation-detecting
um4cmmf1,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
goc62qyr,1,4,0.001,0.001,0.001,0.0,0.0,0.001,False,False,neither
p9fz29xa,1,4,0.0,0.553,0.0,-0.553,-0.553,0.553,False,False,neither
h0eok57w,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
9ozgikjp,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
d7o72flz,1,4,0.0,0.257,0.01,-0.247,-0.254,0.257,False,False,neither
ugjbngbx,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
7ylxxg1m,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
zeljyiyz,1,4,0.0,0.303,0.0,-0.303,-0.303,0.303,False,False,neither
k1fw2exp,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
cqldm784,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
p2chsvxk,1,4,0.0,0.541,0.004,-0.537,-0.54,0.541,False,False,neither
yfq7d3j8,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
o5pg5z8t,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
fzy0lmi0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neither
tzgfcrqb,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
wtrxyd54,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
lo79bxlk,1,4,0.0,0.554,0.0,-0.554,-0.554,0.554,False,False,neither
