id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
7c5f2auc,2,2,0.01,2,2,0.944,0.944,0.0,0.0,0.944,0.0,0.0,neither
wfwpq5xc,2,2,0.001,1,1,0.812,0.812,0.0,0.0,0.812,0.0,0.009,neither
wfwpq5xc,2,2,0.001,1,2,0.812,0.812,0.0,0.0,0.812,0.0,0.009,neither
wfwpq5xc,2,2,0.001,2,1,0.812,0.914,0.10199999999999998,0.10899999999999999,0.812,1.0,0.0,sign-matching
wfwpq5xc,2,2,0.001,2,2,0.812,0.812,0.0,0.0,0.812,0.0,0.0,neither
jqv202lw,2,2,0.0,1,1,0.501,0.517,0.016000000000000014,0.01100000000000001,0.501,0.0280000008642673,0.0,neither
jqv202lw,2,2,0.0,1,2,0.501,0.469,-0.03200000000000003,-0.033999999999999975,0.501,0.0179999992251396,0.0,neither
jqv202lw,2,2,0.0,2,1,0.501,0.703,0.20199999999999996,0.19999999999999996,0.501,0.9990000128746032,0.0,sign-matching
jqv202lw,2,2,0.0,2,2,0.501,0.558,0.05700000000000005,0.05600000000000005,0.501,0.7440000176429749,0.016,neither
wdig9pe9,2,2,0.01,1,1,0.88,0.88,0.0,0.0,0.88,0.0,0.0,neither
wdig9pe9,2,2,0.01,1,2,0.88,0.88,0.0,0.0,0.88,0.0,0.0,neither
wdig9pe9,2,2,0.01,2,1,0.88,0.88,0.0,0.0,0.88,0.0,0.0,neither
wdig9pe9,2,2,0.01,2,2,0.88,0.88,0.0,0.0,0.88,0.0,0.0,neither
vsuilhs4,2,2,0.001,1,1,0.895,0.897,0.0020000000000000018,0.0020000000000000018,0.895,0.0070000002160668,0.0,neither
vsuilhs4,2,2,0.001,1,2,0.895,0.897,0.0020000000000000018,0.0020000000000000018,0.895,0.006000000052154,0.0,neither
vsuilhs4,2,2,0.001,2,1,0.895,0.895,0.0,0.0,0.895,0.0,0.0,neither
vsuilhs4,2,2,0.001,2,2,0.895,0.783,-0.11199999999999999,-0.135,0.895,0.0790000036358833,0.92,violation-detecting
